chemical    a    b    c    t_min (celsius)    t_max (celsius)
trans-1-chloro-1-octene    6.84124    1371.13    169.208    86.4037    367.33
trans-1-chloro-1-octadecene    7.17991    2140.97    140.006    235.42    521.025
trans-1-chloro-1-nonene    6.88774    1466.3    164.942    106.062    389.778
trans-1-chloro-1-nonadecene    7.17489    2185.3    137.91    245.626    532.053
trans-1-chloro-1-hexene    6.75445    1167.18    180.013    41.1551    310.459
trans-1-chloro-1-hexadecene    7.15828    2029.08    144.365    212.795    498.081
trans-1-chloro-1-heptene    6.79657    1270    174.331    64.4159    340.365
trans-1-chloro-1-heptadecene    7.17402    2087.51    142.235    224.194    509.291
trans-1-chloro-1-eicosene    7.15787    2219.54    135.941    254.772    542.42
trans-1-chloro-1-dodecene    7.02519    1731.27    154.741    157.309    443.473
trans-1-chloro-1-decene    6.93471    1557.58    161.218    124.179    409.381
trans-1-chloro-1-butene    6.67811    982.14    190.542    -1.70487    255.042
trans-1-bromo-3-methyl-1-butene    6.81759    1142.54    180.223    33.7176    309.353
trans-1-bromo-2-methyl-1-butene    6.8231    1164.47    178.378    39.4427    319.063
trans-1-bromo-1-undecene    7.13956    1712.11    158.021    175.102    426.205
trans-1-bromo-1-tridecene    7.22381    1871.57    152.941    205.337    452.943
trans-1-bromo-1-tetradecene    7.25959    1946.58    150.55    219.552    465.53
trans-1-bromo-1-propene    6.80835    993.911    189.862    -3.4302    258.622
trans-1-bromo-1-pentene    6.87345    1176.84    179.754    38.3287    311.824
trans-1-bromo-1-pentadecene    7.28944    2016.18    148.326    232.845    477.237
trans-1-bromo-1-octene    7.00217    1437.21    168.724    91.4033    369.876
trans-1-bromo-1-octadecene    7.32915    2188.91    142.073    268.669    510.146
trans-1-bromo-1-nonene    7.04732    1538.25    164.195    111.963    393.713
trans-1-bromo-1-nonadecene    7.32122    2233.28    139.946    279.748    521.34
trans-1-bromo-1-hexene    6.91272    1270.51    175.115    58.6245    336.238
trans-1-bromo-1-hexadecene    7.31197    2079.35    146.257    245.189    488.122
trans-1-bromo-1-heptene    6.95558    1361.36    171.095    77.398    357.396
trans-1-bromo-1-heptadecene    7.32559    2138.36    144.095    257.43    499.505
trans-1-bromo-1-eicosene    7.30086    2267.25    137.947    289.767    531.863
trans-1-bromo-1-dodecene    7.18345    1792.1    155.513    190.223    439.41
trans-1-bromo-1-decene    7.09388    1626.22    160.994    128.536    410.561
trans-1-bromo-1-butene    6.83616    1098.81    183.104    21.9348    294.189
trans-(1-methyl-1-propenyl)benzene    7.01051    1638.28    202.007    94.0646    418.29
trans-(1-butenyl)benzene    7.05723    1670.28    201.251    98.0763    419.61
toluene diisocyanate    7.39464    1984.39    189.623    13.89    463.85
toluene    6.95464    1344.8    219.482    6    136
toluene    6.95087    1342.31    219.187    -27    111
toluene    7.1362    1457.29    231.827    -94.97    318.64
threo-4,4-dimethyl-2,3-pentanediol    9.33007    3480.41    273    170.197    437.153
thiophene    6.95926    1246.02    221.35    -12    108
thiophene    7.06944    1296.79    225.437    -38.21    306.2
thioacetic-acid    7.74889    1479.02    216.82    40    106
thioacetic-acid    6.87681    1022.59    168.894    40    304.19
thiacycloundecane    6.90111    1787.99    190.74    174.073    511.358
thiacyclotridecane    6.88937    1873.68    185.42    197.795    535.195
thiacyclotetradecane    6.88528    1913.94    182.95    208.826    545.645
thiacyclopropane    7.03725    1194.37    232.42    -35    77
thiacyclopentane    6.9954    1401.939    219.607    14    147
thiacyclopentadecane    6.88218    1951.35    180.67    219.017    554.692
thiacyclooctane    6.93308    1618.39    201.38    126.69    453.693
thiacyclooctadecane    6.87618    2058.45    174.21    247.934    579.441
thiacyclononane    6.9198    1685.07    197.2    145.307    478.23
thiacyclononadecane    6.87479    2090.09    172.31    256.444    586.033
thiacyclohexane    6.90518    1422.47    211.72    29    170
thiacyclohexane    7.01195    1486.57    218.096    29    383.97
thiacyclohexadecane    6.87969    1989    178.39    229.218    563.799
thiacycloheptane    6.90523    1422.47    211.72    78    169
thiacycloheptane    10.1272    4808.53    490.023    78    366.92
thiacycloheptadecane    6.8778    2023.68    176.3    238.574    571.572
thiacycloheneicosane    6.87156    2153.05    168.511    273.453    599.599
thiacycloeicosane    6.87331    2121.65    170.41    264.952    592.752
thiacyclododecane    6.89464    1830.63    188.08    185.926    523.289
thiacyclodecane    6.90921    1742.64    193.59    161.384    497.884
thiacyclobutane    7.01667    1321.331    224.513    -5    120
thiacyclobutane    7.12433    1379.92    230.202    -5    329.85
tetratriacontylcyclopentane    5.30825    1513.57    103.528    291.545    570
tetratriacontylcyclohexane    6.58223    2000    13.3333    251.703    577
tetratriacontylbenzene    6.6168    2000    13.3333    252.066    572
tetratriacontylamine    8.74438    4638.96    273.15    406.21    568
tetratriacontane    7.15874    2331.9    63.1    249.939    533.347
tetraphenylethylene    7.90699    2818.91    140.795    223    722.85
tetranitromethane    6.98372    1345.1    202.141    13.9    266.85
tetramethylsilane    6.8719    1060.66    239.108    -99.08    177.25
tetrahydrothiophene    7.11636    1491.31    230.974    -96.16    358.8
tetrahydrofurfuryl alcohol    8.29744    2297.33    246.126    -80.15    365.85
tetrahydrofuran    7.10537    1256.68    232.621    -108.5    267
tetrafluoroethylene    7.00263    714.849    249.07    -131.15    33.3
tetrafluoroethene    6.8966    683.84    245.94    -133    -63
tetraethylenepentamine    8.5453    2903.29    179.543    -30.15    500.85
tetraethylene glycol dimethyl ether    8.25962    2682.07    222.836    -29.7    431.85
tetraethylene glycol    9.07325    2968.08    171.457    -5    448.85
tetradecylcyclopentane    6.97952    1918.14    128.976    192    498.85
tetradecylcyclohexane    7.0646    2043.82    134.499    203    519.67
tetradecylbenzene    6.84018    1873.51    119.183    211.588    520.75
